PUBLIC	STATE	NAME	PROVIDER_NO	STREET_ADDRESS	SUBURB	POSTCODE																																												
PRIVATE	VIC	GENESISCARE RADIATION ONCOLOGY CENTRE SHEPPARTON	0037040X	124 CORIO STREET	SHEPPARTON	3630																																												
PUBLIC	TAS	GEORGE TOWN HOSPITAL AND COMMUNITY CENTRE	0080450Y	47 ANNE STREET	GEORGE TOWN	7253																																												
PUBLIC	WA	GERALDTON HOSPITAL	0071130A	51-85 SHENTON STREET	GERALDTON	6530																																												
PRIVATE	WA	GI CLINIC PERTH	0899111T	UNIT 9/16 HULME COURT	MYAREE	6154																																												
PRIVATE	VIC	GIH ACCESS ENDOSCOPY	0037060T	"LEVEL 1, 445 PRINCES HIGHWAY"	OFFICER	3809																																												
PUBLIC	NSW	GILGANDRA MULTI PURPOSE SERVICE	0011230F	6 CHELMSFORD AVENUE	GILGANDRA	2827																																												
PUBLIC	QLD	GIN GIN HOSPITAL	0050480X	5 KING STREET	GIN GIN	4671																																												
PUBLIC	VIC	GIPPSLAND SOUTHERN HEALTH SERVICE - KORUMBURRA CAMPUS	0030580B	69-75 BRIDGE STREET	KORUMBURRA	3950																																												
PUBLIC	VIC	GIPPSLAND SOUTHERN HEALTH SERVICE - LEONGATHA CAMPUS	0031410L	66 KOONAWARRA ROAD	LEONGATHA	3953																																												
PUBLIC	QLD	GLADSTONE HOSPITAL	0050490W	PARK STREET	GLADSTONE	4680																																												
PRIVATE	VIC	GLEN EIRA DAY SURGERY	0043710L	544 HAWTHORN ROAD	CAULFIELD SOUTH	3162																																												
PUBLIC	NSW	GLEN INNES DISTRICT HOSPITAL	0011240B	94 TAYLOR STREET	GLEN INNES	2370																																												
PRIVATE	VIC	GLEN IRIS PRIVATE	0043970T	314 WARRIGAL ROAD	GLEN IRIS	3146																																												
PRIVATE	SA	GLEN OSMOND SURGICENTRE	0879791H	45 GLEN OSMOND ROAD	EASTWOOD	5063																																												
PRIVATE	SA	GLENELG COMMUNITY HOSPITAL INC	0065110K	5 FARRELL STREET	GLENELG SOUTH	5045																																												
PRIVATE	SA	GLENELG DAY SURGERY	0657221Y	24 GORDON STREET	GLENELG	5045																																												
PRIVATE	WA	GLENGARRY PRIVATE HOSPITAL	0075410F	53 ARNISDALE ROAD	DUNCRAIG	6023																																												
PUBLIC	SA	GLENSIDE CAMPUS	0060870K	2 KARRAYARTA DRIVE	GLENSIDE	5065																																												
PUBLIC	NSW	GLOUCESTER SOLDIERS MEMORIAL HOSPITAL	0011250A	166-182 CHURCH STREET	GLOUCESTER	2422																																												
PUBLIC	WA	GNOWANGERUP HOSPITAL	0070330A	YOUGENUP ROAD	GNOWANGERUP	6335																																												
PRIVATE	QLD	GOLD COAST EYE HOSPITAL	0057360T	"TENANCY 4110, LEVEL 3, ROBINA TOWN CENTRE DRIVE"	ROBINA TOWN CENTRE	4230																																												
PRIVATE	QLD	GOLD COAST PRIVATE HOSPITAL	0055730Y	14 HILL STREET	SOUTHPORT	4215																																												
PUBLIC	QLD	GOLD COAST UNIVERSITY HOSPITAL	0051930A	1 HOSPITAL BOULEVARD	SOUTHPORT	4215																																												
PUBLIC	VIC	GOLF LINKS ROAD REHABILITATION CENTRE	0032080H	125 GOLF LINKS ROAD	FRANKSTON	3199																																												
PUBLIC	NSW	GOODOOGA HOSPITAL	0011260Y	49 HAMMOND STREET	GOODOOGA	2831																																												
PUBLIC	WA	GOOMALLING HOSPITAL	0070320B	FORREST STREET	GOOMALLING	6460																																												
PRIVATE	VIC	GOONAWARRA DAY HOSPITAL	0036910X	1-11 DORNOCH DRIVE	SUNBURY	3429																																												
PUBLIC	QLD	GOONDIWINDI HOSPITAL	0050500J	BOWEN STREET	GOONDIWINDI	4390																																												
PRIVATE	NSW	GORDON PRIVATE HOSPITAL	0017580A	746-748 PACIFIC HIGHWAY	GORDON	2072																																												
PUBLIC	QLD	GORDONVALE HOSPITAL	0050510H	1-11 HIGHLEIGH ROAD	GORDONVALE	4865																																												
PUBLIC	NSW	GOSFORD HOSPITAL	0011270X	76 HOLDEN STREET	GOSFORD	2250																																												
PRIVATE	NSW	GOSFORD PRIVATE HOSPITAL	0016990L	BURRABIL AVENUE	GOSFORD	2250																																												
PUBLIC	NSW	GOULBURN BASE HOSPITAL	0011280W	130 GOLDSMITH STREET	GOULBURN	2580																																												
PUBLIC	VIC	GOULBURN VALLEY HEALTH - CENTRE FOR OLDER PERSONS	0032090F	CNR KNIGHT & ORR STREETS	SHEPPARTON	3630																																												
PUBLIC	VIC	GOULBURN VALLEY HEALTH - SHEPPARTON CAMPUS	0030710J	2 GRAHAM STREET	SHEPPARTON	3630																																												
PUBLIC	VIC	GOULBURN VALLEY HEALTH - TATURA CAMPUS	0030710J	64-68 PARK STREET	TATURA	3616																																												
PUBLIC	VIC	GOULBURN VALLEY HEALTH - WARANGA CAMPUS	0031260K	14 COYLE STREET	RUSHWORTH	3612																																												
PUBLIC	NT	GOVE DISTRICT HOSPITAL	0095050B	80 MATTHEW FLINDERS WAY	NHULUNBUY	0880																																												
PUBLIC	NSW	GOWER WILSON MULTI PURPOSE SERVICE	0011290T	LAGOON RD	LORD HOWE ISLAND	2398																																												
PUBLIC	NSW	GRAFTON BASE HOSPITAL	0011300H	174 ARTHUR STREET	GRAFTON	2460																																												
PUBLIC	WA	GRAYLANDS SELBY-LEMNOS & SPECIAL CARE HOSPITAL	0071590W	BROCKWAY ROAD & 6 LEMNOS STREET	MOUNT CLAREMONT	6010																																												
PUBLIC	VIC	GREAT OCEAN ROAD HEALTH - LORNE COMMUNITY HOSPITAL	0030620K	1 ALBERT STREET	LORNE	3232																																												
PUBLIC	VIC	GREAT OCEAN ROAD HEALTH - OTWAY HEALTH	0030040J	37-43 MCLACHLAN STREET	APOLLO BAY	3233																																												
PRIVATE	SA	GREENHILL DENTAL DAY SURGERY	0067210L	62 GREENHILL ROAD	WAYVILLE	5034																																												
PRIVATE	VIC	GREENSBOROUGH DAY SURGERY 	0044180T	9-13 FLINTOFF STREET	GREENSBOROUGH	3088																																												
PRIVATE	QLD	GREENSLOPES PRIVATE HOSPITAL	0055860K	NEWDEGATE STREET	GREENSLOPES	4120																																												
PUBLIC	NSW	GREENWICH HOSPITAL	0012510K	97-115 RIVER ROAD	GREENWICH	2065																																												
PRIVATE	NSW	GREGORY HILLS RENAL CARE CENTRE	0017630H	"UNIT 3 & 4, 31 LASSO ROAD "	GREGORY HILL	2557																																												
PUBLIC	NSW	GRENFELL MULTI PURPOSE SERVICE	0011320B	80-96 COWRA ROAD	GRENFELL	2810																																												
PUBLIC	NSW	GRIFFITH BASE HOSPITAL	0011340Y	1 NOOREBAR AVENUE	GRIFFITH	2680																																												
PRIVATE	SA	GRIFFITH REHABILITATION HOSPITAL	0065120J	13 DUNROBIN ROAD	HOVE	5048																																												
PUBLIC	NSW	GULARGAMBONE MULTI PURPOSE SERVICE	0011060H	47 BOURBAH STREET	GULARGAMBONE	2828																																												
PUBLIC	NSW	GULGONG HEALTH SERVICE	0011350X	112-114 MAYNE STREET	GULGONG	2852																																												
PUBLIC	SA	GUMERACHA HOSPITAL	0060210B	2 ALBERT STREET	GUMERACHA	5233																																												
PUBLIC	NSW	GUNDAGAI DISTRICT HOSPITAL	0011360W	56 TOR STREET	GUNDAGAI	2722																																												
PUBLIC	NSW	GUNNEDAH DISTRICT HOSPITAL	0011370T	2 MARQUIS STREET	GUNNEDAH	2380																																												
PUBLIC	NSW	GUYRA MULTI PURPOSE SERVICE	0011380L	44-48 SOLE STREET	GUYRA	2365																																												
PUBLIC	QLD	GYMPIE HOSPITAL	0050520F	12 HENRY STREET	GYMPIE	4570																																												
PRIVATE	VIC	HABITAT THERAPEUTICS	0037030Y	117 HELMS STREET	NEWCOMB	3219																																												
PRIVATE	QLD	HADER CLINIC QUEENSLAND PRIVATE 	0056230K	30 FRASER ROAD 	GYMPIE 	4570																																												
PUBLIC	WA	HALLS CREEK HOSPITAL	0070340Y	70 ROBERTA AVENUE	HALLS CREEK	6770																																												
PRIVATE	NSW	HAMILTON DAY SURGERY CENTRE	0027010X	76 JENNER PARADE	HAMILTON SOUTH	2303																																												
PRIVATE	SA	HAMILTON HOUSE DAY SURGERY	0657401W	470 GOODWOOD ROAD	CUMBERLAND PARK	5041																																												
PRIVATE	VIC	HAMPTON DAY HOSPITAL 	0044230Y	338 SOUTH ROAD	HAMPTON EAST	3188																																												
PRIVATE	VIC	HAMPTON PARK WOMEN'S HEALTH CLINIC	0043900H	2-4 WARANA DRIVE	HAMPTON PARK	3976																																												
PRIVATE	SA	HARLEY DAY SURGERY	0067320H	63 PALMER PLACE	NORTH ADELAIDE	5006																																												
PUBLIC	WA	HARVEY DISTRICT HOSPITAL	0070350X	45 HAYWARD STREET	HARVEY	6220																																												
PUBLIC	SA	HAWKER MEMORIAL HOSPITAL	0060220A	CRADOCK ROAD	HAWKER	5434																																												
PUBLIC	NSW	HAWKESBURY DISTRICT HOSPITAL	0012930L	2 DAY STREET	WINDSOR	2756																																												
PUBLIC	NSW	HAY DISTRICT HOSPITAL	0011410A	351 MURRAY STREET	HAY	2711																																												
PUBLIC	VIC	HEALESVILLE & DISTRICT HOSPITAL	0030500X	377 MAROONDAH HIGHWAY	HEALESVILLE	3777																																												
PRIVATE	WA	HEALTHE CARE MARIAN CENTRE	0075610X	187 CAMBRIDGE STREET	WEMBLEY	6014																																												
PRIVATE	NSW	HEALTHWOODS ENDOSCOPY CENTRE	0027110T	53 COWPER STREET	GRANVILLE	2142																																												
PUBLIC	VIC	HEATHCOTE HEALTH	0030510W	39 HOSPITAL STREET	HEATHCOTE	3523																																												
PUBLIC	WA	HEDLAND HEALTH CAMPUS	0071600J	2-24 COLEBATCH WAY	SOUTH HEDLAND	6722																																												
PRIVATE	VIC	HEIDELBERG ENDOSCOPY AND DAY SURGERY CENTRE	0899291W	177-179 NORTHERN ROAD	HEIDELBERG HEIGHTS	3081																																												
PUBLIC	NSW	HENTY MULTI PURPOSE SERVICE	0011430X	7 KEIGHRAN STREET	HENTY	2658																																												
PUBLIC	QLD	HERBERTON HOSPITAL	0050540A	23 GRACE STREET 	HERBERTON	4887																																												
PRIVATE	QLD	HERSTON PRIVATE HOSPITAL	 0056260F	7 WREN STREET	BOWEN HILLS	4006																																												
PUBLIC	QLD	HERVEY BAY HOSPITAL	0051440X	CNR NISSEN STREET AND  URAWEEN ROADS	PIALBA	4655																																												
PRIVATE	QLD	HERVEY BAY SURGICAL HOSPITAL	0056060L	CNR O'ROURKE STREET & BOAT HARBOUR DRIVE	PIALBA	4655																																												
PUBLIC	VIC	HESSE RURAL HEALTH SERVICE	0030100L	8 GOSNEY STREET	WINCHELSEA	3241																																												
PRIVATE	VIC	HEYFIELD HOSPITAL INC	0035330B	14 LICOLA ROAD	HEYFIELD	3858																																												
PUBLIC	VIC	HEYWOOD RURAL HEALTH	0030520T	21 BARCLAY STREET	HEYWOOD	3304																																												
PRIVATE	QLD	HILLCREST - ROCKHAMPTON PRIVATE HOSPITAL	0055750W	4 TALFORD STREET	ROCKHAMPTON	4700																																												
PUBLIC	NSW	HILLSTON DISTRICT HOSPITAL	0011440W	48C BURNS STREET	HILLSTON	2675																																												
PRIVATE	TAS	HOBART DAY SURGERY	0999271K	10 WARNEFORD STREET	HOBART	7000																																												
PRIVATE	TAS	HOBART EYE SURGEONS	0085260J	182 ARGYLE STREET	HOBART	7000																																												
PRIVATE	TAS	HOBART PRIVATE HOSPITAL	0085110A	CNR COLLINS & ARGYLE STREET	HOBART	7001																																												
PRIVATE	TAS	HOBART SPECIALIST DAY HOSPITAL	0087070Y	"1ST FLOOR, 2 MELVILLE STREET"	HOBART	7000																																												
PRIVATE	VIC	HOBSON BAY ENDOSCOPY	0043380T	CNR QUEEN & SARGOOD STREETS	ALTONA	3018																																												
PRIVATE	VIC	HOBSON HEALTHCARE SYDENHAM	0044030H	566 MELTON HIGHWAY	SYDENHAM	3037																																												
PRIVATE	VIC	HOBSON HEALTHCARE WERRIBEE	0043870X	179 PRINCES HIGHWAY	WERRIBEE	3030																																												
PUBLIC	NSW	HOLBROOK DISTRICT HOSPITAL	0011450T	22 BOWLER STREET	HOLBROOK	2644																																												
PRIVATE	WA	HOLLYWOOD PRIVATE HOSPITAL	0075490K	MONASH AVENUE	NEDLANDS	6009																																												
PRIVATE	VIC	HOLMESGLEN PRIVATE HOSPITAL	0036350L	490 SOUTH ROAD	MOORABBIN	3189																																												
PRIVATE	NSW	HOLROYD PRIVATE HOSPITAL	0015500K	123-129 CHETWYND ROAD	GUILDFORD	2161																																												
PUBLIC	QLD	HOME HILL HOSPITAL	0050550Y	EIGHTH AVENUE	HOME HILL	4806																																												
PRIVATE	NSW	HONEYSUCKLE DAY HOSPITAL	0027560K	"UNIT 2, 19 HONEYSUCKLE DRIVE"	NEWCASTLE	2300																																												
PRIVATE	QLD	HOPEWELL HOSPICE	0056050T	11 DUNKIRK CLOSE	ARUNDEL	4214																																												
PUBLIC	NSW	HORNSBY KU-RING-GAI HOSPITAL	0010140T	36-76 PALMERSTON ROAD	HORNSBY	2077																																												
PRIVATE	SA	HOVE DAY SURGERY	0067330F	387 - 389 BRIGHTON ROAD	HOVE	5048																																												
PUBLIC	QLD	HUGHENDEN HOSPITAL	0050560X	12 RICHMOND HILL DRIVE	HUGHENDEN	4821																																												
PRIVATE	QLD	HUMMINGBIRD HOUSE	0056190B	60 CURWEN TERRACE	CHERMSIDE	4032																																												
PUBLIC	NSW	HUNTER NEW ENGLAND MENTAL HEALTH SERVICE	0012890F	2-10 EDITH STREET	WARATAH	2298																																												
PRIVATE	NSW	HUNTER VALLEY PRIVATE HOSPITAL	0016490K	20 MAWSON STREET	SHORTLAND	2307																																												
PRIVATE	NSW	HUNTERS HILL PRIVATE HOSPITAL	0015560Y	9 MOUNT STREET	HUNTERS HILL	2110																																												
PUBLIC	TAS	HUON REGIONAL CARE	0085230T	3278 HUON HIGHWAY	FRANKLIN	7113																																												
PRIVATE	NSW	HURSTVILLE PRIVATE HOSPITAL	0015570X	37 GLOUCESTER ROAD	HURSTVILLE	2220																																												
PRIVATE	SA	ICON CANCER CENTRE ADELAIDE	0067150J	"SUITE 10, FIRST FLOOR, TENNYSON CENTRE, 520 SOUTH ROAD"	KURRALTA PARK	5037																																												
PRIVATE	ACT	ICON CANCER CENTRE CANBERRA	0097060H	UNIVERSITY OF CANBERRA MEDICAL CENTRE CORNER BROULA & ALLAWOONA STREETS	BRUCE	2617																																												
PRIVATE	QLD	ICON CANCER CENTRE CHERMSIDE	0056080J	"CHERMSIDE MEDICAL CENTRE, 930-956 GYMPIE ROAD"	CHERMSIDE	4032																																												
PRIVATE	VIC	ICON CANCER CENTRE GEELONG	0037050W	1 EPWORTH PLACE	WAURN PONDS	3216																																												
PRIVATE	TAS	ICON CANCER CENTRE HOBART	0087060A	"GROUND FLOOR, 2 MELVILLE STREET"	HOBART	7000																																												
PRIVATE	QLD	ICON CANCER CENTRE MACKAY	0057510W	148 SAMS ROAD	MACKAY	4740																																												
PRIVATE	WA	ICON CANCER CENTRE MIDLAND	0077210X	6 CENTENNIAL PLACE	MIDLAND	6056																																												
PRIVATE	VIC	ICON CANCER CENTRE MORELAND 	0044240X	275 MORELAND ROAD	COBURG	3058																																												
PRIVATE	QLD	ICON CANCER CENTRE NORTH LAKES	0057450L	9 MCLENNAN COURT	NORTH LAKES	4509																																												
PRIVATE	NSW	ICON CANCER CENTRE REVESBY	0027510Y	1-3 MACARTHUR STREET	REVESBY	2212																																												
PRIVATE	WA	ICON CANCER CENTRE ROCKINGHAM	0077270H	2 CIVIC BOULEVARD	ROCKINGHAM 	6168																																												
PRIVATE	QLD	ICON CANCER CENTRE SOUTH BRISBANE	0925691B	293 VULTURE STREET	SOUTH BRISBANE	4101																																												
PRIVATE	QLD	ICON CANCER CENTRE SOUTHPORT	0057340X	"LEVEL 9, PREMION PLACE, 39 WHITE STREET"	SOUTHPORT	4215																																												
PRIVATE	QLD	ICON CANCER CENTRE TOWNSVILLE	0057400A	9-13 BAYSWATER ROAD	HYDE PARK	4812																																												
PRIVATE	QLD	ICON CANCER CENTRE WESLEY	0895551A	"1ST FLOOR, WESLEY MEDICAL CENTRE, 40 CHASLEY STREET"	AUCHENFLOWER	4066																																												
PRIVATE	SA	ICON CANCER CENTRE WINDSOR GARDENS	0067250F	"TENANCY 1, LEVEL 1, 480 NORTH EAST ROAD"	WINDSOR GARDENS	5087																																												
PRIVATE	NSW	ILLAWARRA PRIVATE CANCER CARE & RESEARCH CENTRE	0026930J	35 DENISON STREET	WOLLONGONG	2500																																												
PRIVATE	VIC	IMAGING @ OLYMPIC PARK	0044000L	"AAMI PARK SUITE 2, 60 OLYMPIC BOULEVARD"	MELBOURNE	3000																																												
PRIVATE	ACT	IMH DEAKIN PRIVATE HOSPITAL	0095140A	CORNER OF STRICKLAND CRESCENT AND DENISON STREET	DEAKIN	2600																																												
PRIVATE	NSW	IMH HIRONDELLE PRIVATE HOSPITAL	0015550A	10 WYVERN AVENUE	CHATSWOOD	2067																																												
PUBLIC	QLD	INGHAM HOSPITAL	0050570W	2-16 MCILWRAITH STREET	INGHAM	4850																																												
PUBLIC	VIC	INGLEWOOD AND DISTRICT HEALTH SERVICE	0030530L	3 HOSPITAL STREET	INGLEWOOD	3517																																												
PUBLIC	QLD	INGLEWOOD MULTIPURPOSE HEALTH SERVICE	0050580T	CUNNINGHAM HIGHWAY	INGLEWOOD	4387																																												
PUBLIC	QLD	INJUNE HOSPITAL	0050590L	FIFTH AVENUE	INJUNE	4454																																												
PRIVATE	NSW	INNER WEST ENDOSCOPY CENTRE	0657041B	311 MARRICKVILLE ROAD	MARRICKVILLE	2204																																												
PUBLIC	QLD	INNISFAIL HOSPITAL	0050600F	87 RANKIN STREET	INNISFAIL	4860																																												
PRIVATE	NSW	INSIGHT PRIVATE HOSPITAL	0656151F	"LEVEL 5, 470 WODONGA PLACE"	ALBURY	2640																																												
PUBLIC	NSW	INVERELL DISTRICT HOSPITAL	0011460L	41 SWANBROOK ROAD	INVERELL	2360																																												
PRIVATE	QLD	IPSWICH DAY HOSPITAL	0999431K	10 CHURCHILL STREET	IPSWICH	4305																																												
PRIVATE	QLD	IPSWICH HOSPICE CARE	0055950J	"37 CHERMSIDE ROAD, EASTERN HEIGHTS"	IPSWICH	4305																																												
PUBLIC	QLD	IPSWICH HOSPITAL	0050610B	7 CHELMSFORD AVENUE	IPSWICH	4305																																												
PRIVATE	VIC	IVANHOE ENDOSCOPY CENTRE	0043400F	2/226 UPPER HEIDELBERG ROAD	IVANHOE	3079																																												
PUBLIC	NSW	IVANHOE HEALTH SERVICE	0011490H	11 COLUMBUS STREET	IVANHOE	2878																																												
PUBLIC	QLD	JACARANDA PLACE – QUEENSLAND ADOLESCENT EXTENDED TREATMENT CENTRE	0051970T	78 FARNELL STREET	CHERMSIDE	4032																																												
PUBLIC	SA	JAMESTOWN CAMPUS	0060230Y	43 SOUTH TERRACE	JAMESTOWN	5491																																												
PRIVATE	NSW	JAMISON STREET DAY SURGERY	0027540T	SUITE 151 - 1 JAMISON STREET	SYDNEY	2000																																												
PUBLIC	QLD	JANDOWAE HOSPITAL	0050630Y	13 DALBY STREET	JANDOWAE	4410																																												
PUBLIC	NSW	JERILDERIE MULTI PURPOSE SERVICE	0011500Y	33-39 SOUTHEY STREET	JERILDERIE	2716																																												
PRIVATE	VIC	JESSIE MCPHERSON PRIVATE HOSPITAL	0035000Y	246 CLAYTON ROAD	CLAYTON	3168																																												
PRIVATE	VIC	JOHN FAWKNER PRIVATE HOSPITAL	0035850A	275 MORELAND ROAD	COBURG	3058																																												
PRIVATE	QLD	JOHN FLYNN PRIVATE HOSPITAL	0055820X	42 INLAND DRIVE	TUGUN	4224																																												
PUBLIC	NSW	JOHN HUNTER HOSPITAL ROYAL NEWCASTLE CENTRE	0012790J	2 LOOKOUT ROAD	NEW LAMBTON	2305																																												
PRIVATE	VIC	JOLIMONT DAY HOSPITAL	0037130W	"LEVEL 2, 150 JOLIMONT ROAD"	EAST MELBOURNE	3002																																												
PRIVATE	WA	JOONDALUP HEALTH CAMPUS	0075530X	SHENTON AVENUE	JOONDALUP	6027																																												
PUBLIC	QLD	JOYCE PALMER HEALTH SERVICE	0051070H	BEACH ROAD	PALM ISLAND	4816																																												
PUBLIC	QLD	JULIA CREEK MULTI-PURPOSE HEATH SERVICE	0050640X	1 BURKE STREET	JULIA CREEK	4823																																												
PUBLIC	NSW	JUNEE MULTI PURPOSE SERVICE	0011510X	67 BROADWAY STREET	JUNEE	2663																																												
PUBLIC	WA	KALAMUNDA HOSPITAL	0071270K	ELIZABETH STREET	KALAMUNDA	6076																																												
PUBLIC	WA	KALBARRI HEALTH SERVICE	0071580X	KAIBER STREET	KALBARRI	6536																																												
PUBLIC	WA	KALEEYA HOSPITAL	0075390T	CNR STATON & WOLSELY RDS	EAST FREMANTLE	6158																																												
PUBLIC	WA	KALGOORLIE HEALTH CAMPUS	0070370T	PICCADILLY STREET	KALGOORLIE	6430																																												
PUBLIC	SA	KANGAROO ISLAND HEALTH SERVICE	0060270L	3-7 THE ESPLANADE	KINGSCOTE	5223																																												
PUBLIC	SA	KAPUNDA HOSPITAL	0060820Y	LOT 40 NASH STREET	KAPUNDA	5373																																												
PRIVATE	NSW	KAREENA PRIVATE HOSPITAL	0016510A	86 KAREENA ROAD	CARINGBAH	2229																																												
PUBLIC	NSW	KARITANE	0010150L	CNR BUTTON AVENUE & LYDIA STREET	CARRAMAR	2163																																												
PUBLIC	SA	KAROONDA AND DISTRICT SOLDIERS' MEMORIAL HOSPITAL	0060650A	13 STOKES ROAD	KAROONDA	5307																																												
PUBLIC	WA	KARRATHA HEALTH CAMPUS	0071540F	62 BALMORAL ROAD	KARRATHA	6714																																												
PUBLIC	WA	KATANNING HOSPITAL	0070380L	CLIVE STREET	KATANNING	6317																																												
PUBLIC	NT	KATHERINE HOSPITAL	0095030H	GORGE ROAD	KATHERINE	0850																																												
PRIVATE	QLD	KAWANA PRIVATE HOSPITAL	0056070K	"SUITE 14, LEVEL 1, 5 INNOVATION PARKWAY"	BIRTINYA	4575																																												
PRIVATE	VIC	KEILOR PRIVATE	0656671B	12A KENNEDY STREET	KEILOR	3036																																												
PUBLIC	WA	KELLERBERRIN MEMORIAL HOSPITAL	0070390K	51-63 GREGORY STREET	KELLERBERRIN	6410																																												
PUBLIC	NSW	KEMPSEY DISTRICT HOSPITAL	0011640J	119 RIVER STREET	KEMPSEY	2440																																												
PUBLIC	VIC	KERANG DISTRICT HEALTH	0030550J	13 BURGOYNE STREET	KERANG	3579																																												
PRIVATE	VIC	KEW ENDOSCOPY CENTRE	0043680B	"SUITE 5, 828 HIGH STREET"	KEW EAST	3102																																												
PUBLIC	QLD	KILCOY HOSPITAL	0050660T	19 BROWN STREET	KILCOY	4515																																												
PUBLIC	WA	KING EDWARD MEMORIAL HOSPITAL	0070030L	374 BAGOT ROAD	SUBIACO	6008																																												
PUBLIC	TAS	KING ISLAND DISTRICT HOSPITAL AND HEALTH CENTRE	0080130T	EDWARD STREET	CURRIE	7256																																												
PUBLIC	QLD	KINGAROY HOSPITAL & COMMUNITY HEALTH CENTRE	0050670L	166 YOUNGMAN STREET	KINGAROY	4610																																												
PRIVATE	WA	KINGS PARK DAY HOSPITAL	0077040Y	"SUITE 1, 1 WALKER AVENUE"	WEST PERTH	6005																																												
PRIVATE	NSW	KINGSGROVE DAY HOSPITAL	0658121W	"LEVEL 1, 322 KINGSGROVE ROAD"	KINGSGROVE	2208																																												
PUBLIC	VIC	KINGSTON CENTRE	0034170K	400 WARRIGAL ROAD	CHELTENHAM	3192																																												
PUBLIC	SA	KINGSTON SOLDIERS' MEMORIAL HOSPITAL	0060280K	CNR COOKE STREET AND YOUNG STREET	KINGSTON	5275																																												
PRIVATE	VIC	KNOX DAY HOSPITAL	0043650J	520 MOUNTAIN HIGHWAY	BAYSWATER	3153																																												
PRIVATE	VIC	KNOX PRIVATE HOSPITAL	0036610J	262 MOUNTAIN HIGHWAY	WANTIRNA	3152																																												
PRIVATE	NSW	KOGARAH PRIVATE HOSPITAL 	0027220J	"LEVEL 1, 1 DERBY STREET"	KOGARAH	2217																																												
PUBLIC	WA	KOJONUP HOSPITAL	0070400B	SPRING STREET	KOJONUP	6395																																												
PUBLIC	WA	KONDININ HOSPITAL	0070420Y	130 GRAHAM STREET	KONDININ	6367																																												
PUBLIC	VIC	KOOWEERUP REGIONAL HEALTH SERVICE	0031300X	215 ROSSITER ROAD	KOO WEE RUP	3981																																												
PUBLIC	WA	KUNUNOPPIN HOSPITAL	0070430X	LEAKE STREET	KUNUNOPPIN	6489																																												
PUBLIC	WA	KUNUNURRA HOSPITAL	0071050A	11 COOLIBAH DRIVE	KUNUNURRA	6743																																												
PUBLIC	NSW	KURRI KURRI DISTRICT HOSPITAL	0011540L	432 LANG STREET	KURRI KURRI	2327																																												
PUBLIC	VIC	KYABRAM & DISTRICT HEALTH SERVICES	0030590A	88 FENAUGHTY STREET	KYABRAM	3620																																												
PUBLIC	NSW	KYOGLE MEMORIAL MULTI PURPOSE SERVICE	0011550K	199 SUMMERLAND WAY	KYOGLE	2474																																												
PRIVATE	VIC	LA TROBE PRIVATE HOSPITAL	0036790K	CNR PLENTY ROAD AND KINGSBURY DRIVE	BUNDOORA	3083																																												
PRIVATE	QLD	LADY BJELKE-PETERSEN COMMUNITY HOSPITAL	0056020Y	31 MARKWELL STREET	KINGAROY	4610																																												
PRIVATE	NSW	LADY DAVIDSON PRIVATE HOSPITAL	0017160Y	434 BOBBIN HEAD ROAD	NORTH TURRAMURRA	2074																																												
PUBLIC	QLD	LAIDLEY HOSPITAL	0050680K	75 WILLIAM STREET	LAIDLEY	4341																																												
PUBLIC	NSW	LAKE CARGELLIGO MULTI PURPOSE SERVICE	0011560J	UABBA STREET	LAKE CARGELLIGO	2672																																												
PUBLIC	WA	LAKE GRACE HOSPITAL	0070440W	STUBBS STREET	LAKE GRACE	6353																																												
PRIVATE	NSW	LAKE MACQUARIE PRIVATE HOSPITAL	0016750H	3 SYDNEY STREET	GATESHEAD	2290																																												
PRIVATE	NSW	LAKEVIEW PRIVATE HOSPITAL 	0017510T	17-19 SOLENT CIRCUIT	NORWEST	2153																																												
PUBLIC	SA	LAMEROO HEALTH SERVICES	0060290J	1A VARDON TERRACE	LAMEROO	5302																																												
PUBLIC	VIC	LATROBE REGIONAL HOSPITAL	0031210Y	10 VILLAGE AVENUE	TRARALGON	3844																																												
PUBLIC	TAS	LAUNCESTON GENERAL HOSPITAL	0080070K	274-280 CHARLES STREET	LAUNCESTON	7250																																												
PRIVATE	TAS	LAUNCESTON HEALTH HUB DAY PROCEDURE UNIT	0085280F	247 WELLINGTON STREET	LAUNCESTON	7250																																												
PUBLIC	SA	LAURA CAMPUS	0060700H	MILL STREET	LAURA	5480																																												
PUBLIC	WA	LAVERTON HOSPITAL	0070450T	2 BERIA ROAD	LAVERTON	6440																																												
PUBLIC	NSW	LEETON DISTRICT HOSPITAL	0011570H	CNR PALM AND WADE AVENUE	LEETON	2705																																												
PUBLIC	SA	LEIGH CREEK HEALTH SERVICES	0060750X	12 BLACK OAK DRIVE	LEIGH CREEK	5731																																												
PUBLIC	WA	LEONORA HOSPITAL	0070460L	SADIE CANNING DRIVE	LEONORA	6438																																												
PRIVATE	ACT	LEVANT CLINIC CANBERRA	0097080B	"SUITE 3, LEVEL C, CANBERRA SPECIALIST MEDICAL CENTRE, 1 BROULA STREET"	BRUCE	2617																																												
PRIVATE	NSW	LEVANT COSMETIC DAY SURGERY RANDWICK	0027550L	"LEVEL 1, 164 BELMORE ROAD"	RANDWICK	2031																																												
